Date,Price,Open,High,Low,Volume,Chg%,VIX
"Oct 23, 2014","16,470.05","16,508.40","16,524.90","16,444.05",2.96M,0.15%,12.86
"Oct 22, 2014","16,444.70","16,570.40","16,572.50","16,365.60",22.17M,0.11%,13.03
"Oct 21, 2014","16,427.25","16,281.95","16,452.85","16,269.00",37.13M,1.30%,13.33
"Oct 20, 2014","16,216.60","16,259.70","16,297.25","16,157.05",32.10M,1.80%,14.19
"Oct 17, 2014","15,929.80","15,617.35","15,973.50","15,603.45",31.31M,2.50%,16.40
"Oct 16, 2014","15,541.60","15,690.35","15,836.15","15,477.05",30.86M,-1.33%,16.43
"Oct 14, 2014","15,751.55","15,790.95","15,843.70","15,560.25",32.23M,0.47%,14.59
"Oct 13, 2014","15,677.50","15,360.70","15,705.70","15,301.65",26.08M,1.45%,14.50
"Oct 10, 2014","15,453.80","15,603.45","15,628.75","15,439.35",24.18M,-1.83%,14.33
"Oct 09, 2014","15,741.20","15,434.35","15,795.65","15,434.35",27.78M,2.59%,13.16
"Oct 08, 2014","15,344.00","15,130.35","15,371.80","15,130.35",19.84M,1.08%,14.11
"Oct 07, 2014","15,180.25","15,214.25","15,344.60","15,157.70",20.60M,-0.89%,14.46
"Oct 01, 2014","15,316.20","15,370.70","15,377.60","15,270.95",20.67M,-0.49%,13.00
"Sep 30, 2014","15,392.25","15,441.35","15,596.10","15,336.70",28.37M,-0.53%,13.15
"Sep 29, 2014","15,473.55","15,636.45","15,636.45","15,420.80",20.42M,-0.86%,13.39
"Sep 26, 2014","15,607.25","15,262.90","15,666.40","15,168.40",37.25M,2.01%,12.93
"Sep 25, 2014","15,299.05","15,690.50","15,734.10","15,213.35",41.72M,-2.80%,13.30
"Sep 24, 2014","15,740.30","15,883.45","15,954.45","15,625.85",26.02M,-1.02%,12.54
"Sep 23, 2014","15,902.85","16,194.40","16,240.55","15,894.55",23.89M,-1.80%,12.41
"Sep 22, 2014","16,194.55","16,052.55","16,272.35","16,021.15",19.10M,0.26%,11.57
"Sep 19, 2014","16,152.15","16,197.50","16,197.50","16,064.60",23.90M,-0.03%,11.89
"Sep 18, 2014","16,156.85","15,778.75","16,173.80","15,770.80",21.55M,2.01%,12.33
"Sep 17, 2014","15,838.60","15,926.85","15,937.30","15,799.70",22.26M,-0.03%,12.95
"Sep 16, 2014","15,844.10","16,160.70","16,169.60","15,814.65",28.61M,-2.00%,13.28
"Sep 15, 2014","16,167.55","16,158.65","16,239.70","16,106.05",27.06M,-0.53%,13.26
"Sep 12, 2014","16,254.15","16,208.00","16,278.65","16,145.70",22.58M,0.31%,12.37
"Sep 11, 2014","16,204.15","16,197.30","16,309.70","16,166.85",30.04M,0.32%,12.52
"Sep 10, 2014","16,151.75","16,173.50","16,190.50","16,053.90",20.60M,-0.03%,12.93
"Sep 09, 2014","16,156.75","16,171.80","16,199.10","16,085.70",17.49M,-0.31%,12.76
"Sep 08, 2014","16,206.70","16,084.20","16,222.55","16,049.25",20.52M,1.40%,12.79
"Sep 05, 2014","15,982.50","16,030.45","16,111.00","15,891.75",21.49M,-0.32%,12.94
"Sep 04, 2014","16,033.55","16,102.90","16,114.75","15,926.65",21.70M,-0.47%,13.08
"Sep 03, 2014","16,110.00","16,208.55","16,208.55","16,048.10",30.66M,-0.13%,13.39
"Sep 02, 2014","16,130.55","16,049.75","16,170.85","16,047.30",26.32M,0.74%,13.45
"Sep 01, 2014","16,012.80","15,790.25","16,060.20","15,790.25",23.69M,1.73%,13.53
"Aug 28, 2014","15,740.40","15,758.05","15,794.60","15,688.15",27.07M,0.14%,13.07
"Aug 27, 2014","15,717.65","15,745.60","15,758.85","15,669.05",18.35M,0.60%,13.06
"Aug 26, 2014","15,624.10","15,530.65","15,674.55","15,503.40",21.08M,-0.29%,13.90
"Aug 25, 2014","15,669.00","15,817.55","15,973.35","15,625.45",22.47M,-0.95%,13.79
"Aug 22, 2014","15,819.15","15,699.05","15,865.30","15,696.30",32.03M,1.00%,13.62
"Aug 21, 2014","15,662.20","15,475.50","15,721.95","15,462.50",34.52M,1.17%,13.73
"Aug 20, 2014","15,481.70","15,566.75","15,566.75","15,448.90",19.91M,-0.28%,13.66
"Aug 19, 2014","15,524.65","15,507.05","15,624.35","15,469.85",31.94M,0.55%,13.91
"Aug 18, 2014","15,439.75","15,099.70","15,465.05","15,068.35",28.41M,2.32%,13.50
"Aug 14, 2014","15,089.65","14,954.20","15,144.75","14,940.30",24.75M,1.20%,13.22
"Aug 13, 2014","14,910.90","15,007.25","15,078.35","14,843.80",27.19M,-0.97%,13.76
"Aug 12, 2014","15,056.70","14,943.80","15,078.10","14,850.15",19.70M,1.41%,13.47
"Aug 11, 2014","14,846.80","14,858.75","14,896.90","14,807.00",20.92M,0.55%,14.00
"Aug 08, 2014","14,765.75","14,831.75","14,858.95","14,709.10",27.15M,-1.48%,14.62
"Aug 07, 2014","14,986.85","15,004.85","15,135.10","14,956.85",21.98M,-0.15%,14.14
"Aug 06, 2014","15,008.65","15,209.05","15,239.35","14,983.50",21.26M,-1.86%,14.30
"Aug 05, 2014","15,293.25","15,283.60","15,343.50","15,105.90",27.42M,0.33%,13.95
"Aug 04, 2014","15,242.35","15,242.25","15,326.15","15,128.10",22.94M,0.76%,14.82
"Aug 01, 2014","15,127.80","15,137.60","15,417.25","15,096.10",36.34M,-0.92%,15.22
"Jul 31, 2014","15,267.60","15,447.90","15,499.50","15,233.00",39.21M,-1.20%,13.82
"Jul 30, 2014","15,452.40","15,256.20","15,470.60","15,184.65",29.17M,1.58%,13.89
"Jul 28, 2014","15,212.15","15,399.50","15,403.90","15,162.05",22.72M,-0.72%,14.32
"Jul 25, 2014","15,322.25","15,494.85","15,571.90","15,272.45",27.78M,-1.37%,14.22
"Jul 24, 2014","15,534.35","15,471.35","15,559.10","15,410.20",28.22M,0.46%,14.72
"Jul 23, 2014","15,463.00","15,513.45","15,626.90","15,398.70",31.13M,0.23%,14.69
"Jul 22, 2014","15,427.35","15,440.35","15,473.35","15,306.35",21.71M,0.27%,14.64
"Jul 21, 2014","15,385.95","15,510.00","15,554.90","15,355.35",26.14M,-0.02%,14.90
"Jul 18, 2014","15,389.35","15,169.00","15,463.15","15,089.30",30.49M,0.79%,15.10
"Jul 17, 2014","15,269.05","15,258.95","15,301.95","15,156.00",26.11M,0.02%,14.97
"Jul 16, 2014","15,265.45","15,033.95","15,299.80","15,006.45",39.30M,2.51%,14.73
"Jul 15, 2014","14,891.90","14,601.85","14,919.55","14,601.85",32.86M,2.78%,14.77
"Jul 14, 2014","14,489.75","14,508.10","14,561.75","14,338.65",28.20M,0.29%,15.56
"Jul 11, 2014","14,447.20","14,796.90","14,918.85","14,406.65",33.02M,-2.53%,15.72
"Jul 10, 2014","14,821.70","14,940.00","15,371.05","14,621.95",48.10M,-0.73%,15.97
"Jul 09, 2014","14,931.10","15,008.25","15,093.45","14,827.10",30.66M,-0.44%,18.19
"Jul 08, 2014","14,997.50","15,437.40","15,437.40","14,889.35",26.42M,-2.41%,19.18
"Jul 07, 2014","15,367.60","15,589.50","15,592.80","15,349.20",33.22M,-1.21%,19.41
"Jul 04, 2014","15,556.15","15,458.75","15,582.65","15,305.00",20.78M,0.68%,18.16
"Jul 03, 2014","15,451.65","15,512.75","15,554.70","15,431.50",22.30M,-0.25%,17.81
"Jul 02, 2014","15,490.35","15,464.55","15,519.30","15,414.85",23.65M,1.10%,17.57
"Jul 01, 2014","15,321.35","15,288.80","15,365.65","15,261.15",24.83M,0.52%,17.66
"Jun 30, 2014","15,241.90","15,059.10","15,329.95","15,059.10",29.76M,1.66%,17.87
"Jun 27, 2014","14,992.35","15,092.25","15,117.15","14,946.85",20.19M,-0.38%,17.63
"Jun 26, 2014","15,050.00","15,247.10","15,333.25","15,020.65",37.29M,-1.23%,17.70
"Jun 25, 2014","15,237.85","15,320.95","15,320.95","15,221.15",23.37M,-0.47%,18.31
"Jun 24, 2014","15,309.50","15,142.35","15,341.95","15,142.35",29.14M,1.55%,19.19
"Jun 23, 2014","15,076.35","15,014.20","15,148.00","14,940.35",25.01M,0.52%,18.96
"Jun 20, 2014","14,997.65","15,064.45","15,195.55","14,978.50",21.88M,-0.46%,18.85
"Jun 19, 2014","15,067.40","15,282.05","15,332.75","14,976.15",26.24M,-1.01%,18.74
"Jun 18, 2014","15,220.40","15,369.50","15,461.55","15,128.45",36.08M,-0.99%,18.58
"Jun 17, 2014","15,373.20","14,982.35","15,393.75","14,933.25",36.26M,2.28%,17.70
"Jun 16, 2014","15,030.00","15,055.20","15,091.30","14,858.90",32.73M,-0.51%,17.98
"Jun 13, 2014","15,106.90","15,506.75","15,599.75","15,083.90",33.04M,-2.31%,17.76
"Jun 12, 2014","15,464.85","15,456.25","15,518.75","15,293.40",26.80M,0.09%,16.90
"Jun 11, 2014","15,450.55","15,436.05","15,660.05","15,367.60",40.21M,0.15%,17.06
"Jun 10, 2014","15,427.80","15,585.40","15,585.40","15,337.85",30.47M,-0.90%,16.66
"Jun 09, 2014","15,567.40","15,625.40","15,725.80","15,522.85",41.92M,0.16%,17.10
"Jun 06, 2014","15,543.15","15,405.75","15,576.05","15,320.75",39.72M,1.71%,15.98
"Jun 05, 2014","15,282.15","15,250.60","15,337.15","15,152.40",34.69M,-0.33%,15.45
"Jun 04, 2014","15,333.40","15,221.30","15,396.90","15,171.15",32.58M,0.50%,15.57
"Jun 03, 2014","15,257.50","15,335.85","15,414.05","15,148.50",36.32M,-0.19%,15.80
"Jun 02, 2014","15,287.25","14,786.45","15,321.80","14,770.00",33.47M,3.34%,16.50
"May 30, 2014","14,793.40","15,093.10","15,108.80","14,709.30",43.26M,-1.58%,16.34
"May 29, 2014","15,030.30","15,169.25","15,254.50","15,007.50",44.81M,-0.94%,16.69
"May 28, 2014","15,173.35","15,075.60","15,198.35","15,032.45",26.98M,0.59%,17.56
"May 27, 2014","15,084.00","15,141.50","15,158.40","14,934.95",30.64M,-0.61%,19.10
"May 26, 2014","15,175.90","15,431.95","15,568.05","14,969.25",52.77M,-0.72%,19.84
"May 23, 2014","15,285.50","15,091.70","15,321.25","14,972.60",53.88M,1.53%,17.71
"May 22, 2014","15,055.55","15,009.90","15,204.45","14,938.25",37.48M,0.69%,17.84
"May 21, 2014","14,952.10","15,126.60","15,126.60","14,857.50",36.92M,-1.05%,17.91
"May 20, 2014","15,111.20","15,351.65","15,362.55","15,087.70",46.75M,-0.73%,19.23
"May 19, 2014","15,222.15","15,032.00","15,305.65","15,032.00",57.77M,2.49%,20.63
"May 16, 2014","14,853.00","14,675.60","15,742.05","14,468.10",103.89M,4.33%,24.29
"May 15, 2014","14,236.55","14,186.10","14,301.30","14,159.10",55.35M,0.21%,36.77
"May 14, 2014","14,207.10","14,124.55","14,320.75","14,063.60",55.15M,0.29%,32.42
"May 13, 2014","14,165.55","14,269.25","14,367.75","14,105.65",62.51M,0.57%,32.05
"May 12, 2014","14,085.05","13,801.00","14,152.45","13,801.00",44.36M,2.43%,37.11
"May 09, 2014","13,750.50","13,023.40","13,814.25","13,017.90",50.62M,5.47%,37.71
"May 08, 2014","13,037.40","12,982.75","13,095.50","12,952.50",23.55M,0.77%,34.30
"May 07, 2014","12,938.20","12,944.90","13,017.00","12,877.75",25.76M,-0.21%,33.61
"May 06, 2014","12,966.05","12,961.50","13,012.55","12,917.15",24.62M,0.66%,33.27
"May 05, 2014","12,880.65","12,841.40","12,981.60","12,773.05",33.00M,0.30%,34.19
"May 02, 2014","12,842.00","12,920.35","12,995.60","12,818.85",19.44M,-0.11%,33.06
"Apr 30, 2014","12,855.85","12,946.10","13,100.75","12,738.60",41.07M,-0.42%,30.59
"Apr 29, 2014","12,910.55","13,107.55","13,124.30","12,897.35",28.07M,-1.31%,31.05
