Date,IndexFutNet,IndexOptNet
12/27/2017,1377.60,87.37
12/26/2017,-49.48,-115.71
12/22/2017,-507.14,114.79
12/21/2017,-183.53,56.10
12/20/2017,-347.51,1154.38
12/19/2017,220.45,487.40
12/18/2017,219.42,268.32
12/15/2017,-89.65,630.90
12/14/2017,-661.17,611.17
12/13/2017,767.50,130.96
12/12/2017,265.50,381.89
12/11/2017,109.91,54.11
12/8/2017,-744.95,219.11
12/7/2017,-914.22,-342.07
12/6/2017,-446.38,518.06
12/5/2017,-1978.63,277.62
12/4/2017,149.59,149.39
12/1/2017,-68.88,-465.63
11/30/2017,-625.30,-2623.58
11/29/2017,1281.25,-562.62
11/28/2017,313.76,-724.73
11/27/2017,-95.39,-12.80
11/24/2017,348.55,-235.93
11/23/2017,143.80,100.66
11/22/2017,141.85,-231.43
11/21/2017,878.50,-1434.31
11/20/2017,211.48,-612.62
11/17/2017,517.81,-804.80
11/16/2017,-74.66,-498.95
11/15/2017,-1324.58,-592.01
11/14/2017,-820.62,-1866.36
11/13/2017,278.89,-339.27
11/10/2017,-1785.08,-124.58
11/9/2017,-1112.36,-986.43
11/8/2017,-602.48,-2287.83
11/7/2017,-767.51,-905.30
11/6/2017,-929.36,-733.38
11/3/2017,-418.21,11.67
11/2/2017,-759.72,-332.63
11/1/2017,-49.30,224.55
10/31/2017,-630.11,-314.84
10/30/2017,191.31,124.81
10/27/2017,-66.43,-223.79
10/26/2017,-514.73,836.94
10/25/2017,-1097.71,2009.26
10/24/2017,-1348.36,-375.72
10/23/2017,-657.28,110.68
10/19/2017,24.41,-81.37
10/18/2017,24.41,-81.37
10/17/2017,258.23,-8.40
10/16/2017,2485.96,-174.54
10/13/2017,807.89,362.72
10/12/2017,262.75,742.17
10/11/2017,767.75,884.64
10/10/2017,-390.96,435.98
10/9/2017,-29.61,-218.73
10/6/2017,311.54,435.82
10/5/2017,-490.25,128.88
10/4/2017,801.80,1169.67
10/3/2017,323.83,1744.69
9/29/2017,342.14,702.59
9/28/2017,-2803.28,-82.74
9/27/2017,-249.79,489.43
9/26/2017,-1263.26,320.37
9/25/2017,-721.77,-238.42
9/22/2017,1687.95,-125.57
9/21/2017,-375.56,-102.56
9/20/2017,-469.13,128.52
9/19/2017,-1028.75,9.18
9/18/2017,-197.62,83.84
9/15/2017,133.93,-1123.04
9/14/2017,-483.55,57.69
9/13/2017,-531.77,62.92
9/12/2017,-298.65,211.26
9/11/2017,-246.72,164.62
9/8/2017,119.26,-61.47
9/7/2017,-107.12,-274.59
9/6/2017,-762.79,507.24
9/5/2017,80.03,33.31
9/4/2017,-469.57,214.08
9/1/2017,293.52,92.96
8/31/2017,1185.19,-81.00
8/30/2017,765.29,63.22
8/29/2017,241.43,-67.54
8/28/2017,-536.30,698.17
8/24/2017,249.07,90.15
8/23/2017,-1127.79,-50.25
8/22/2017,209.35,168.27
8/21/2017,485.55,347.54
8/18/2017,-385.33,-664.37
8/17/2017,-252.81,726.42
8/16/2017,-1683.19,201.48
8/14/2017,-452.64,571.26
8/11/2017,-1407.58,-88.16
8/10/2017,470.67,359.35
8/9/2017,419.91,151.38
8/8/2017,-417.07,26.15
8/7/2017,-772.70,-376.32
8/4/2017,-286.30,50.31
8/3/2017,-369.28,191.22
8/2/2017,-1060.19,-41.81
8/1/2017,-420.64,-101.58
7/31/2017,-425.72,201.98
7/28/2017,-1744.05,150.13
7/27/2017,2097.43,-610.48
7/26/2017,-800.99,697.55
7/25/2017,-998.42,282.10
7/24/2017,-519.01,1407.05
7/21/2017,215.49,1032.80
7/20/2017,-539.75,405.44
7/19/2017,206.44,-50.06
7/18/2017,325.2,-1371.56
7/17/2017,278.75,72.30
7/14/2017,-310.89,47.17
7/13/2017,-620.43,1191.64
7/12/2017,-1286.38,202.00
7/11/2017,93.6,1073.31
7/10/2017,-999.7,2147.56
7/7/2017,-761.08,192.20
